pc_time,timestamp_ms,elapsed_s,phase,direction_deg,target_speed_mps,stm32_cmd_speed_mps,actual_speed_mps,speed_error_mps,status_transport_delay_s,test_mode,test_state,fault,flags,vesc_online,imu_online,rc_online,control_valid,target_vx,target_vy,target_wz,actual_vx,actual_vy,actual_wz,vx_error,lf_target_rpm,lf_feedback_rpm,rf_target_rpm,rf_feedback_rpm,lb_target_rpm,lb_feedback_rpm,rb_target_rpm,rb_feedback_rpm,gyro_z,yaw,odom_x,odom_y,odom_yaw
2026-08-03T14:53:10.411,3883,1.26,step,0.0,0.5,,0.4536835551261902,0.046316444873809814,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4536835551261902,-0.0009646774851717055,-0.0019294952508062124,0.046316444873809814,-7477,-7289,-7459,-6996,7612,7425,7556,7259,-0.008522115647792816,0.00029401315259747207,0.0015555350109934807,0.3117069900035858,0.016845712438225746
2026-08-03T14:53:10.426,3903,1.28,step,0.0,0.5,,0.4601827561855316,0.039817243814468384,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4601827561855316,-0.0023412429727613926,0.007234103046357632,0.039817243814468384,-7592,-7443,-7564,-6996,7737,7545,7656,7471,0.008522115647792816,0.000512392376549542,0.003897478338330984,0.31886744499206543,0.029357921332120895
2026-08-03T14:53:10.456,3923,1.3,step,0.0,0.5,,0.4682794511318207,0.03172054886817932,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4682794511318207,-0.0017250572564080358,0.004396508913487196,0.03172054886817932,-7699,-7535,-7670,-7548,7843,7699,7767,7487,-0.007456851191818714,0.0006322346162050962,-0.0058873360976576805,0.3382829427719116,0.036224376410245895
2026-08-03T14:53:10.477,3943,1.32,step,0.0,0.5,,0.476302832365036,0.02369716763496399,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.476302832365036,0.00013980749645270407,0.0037421477027237415,0.02369716763496399,-7800,-7591,-7762,-7548,7936,7807,7870,7619,0.015978965908288956,0.0005896240472793579,-0.003525553736835718,0.3456403315067291,0.033782970160245895
2026-08-03T14:53:10.489,3963,1.34,step,0.0,0.5,,0.48334601521492004,0.016653984785079956,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.48334601521492004,0.0003451564989518374,0.005705211777240038,0.016653984785079956,-7803,-7681,-7759,-7548,7938,7870,7868,7708,0.004261057823896408,0.000789361132774502,-0.0011114568915218115,0.35311150550842285,0.045227061957120895
2026-08-03T14:53:10.509,3983,1.36,step,0.0,0.5,,0.48815613985061646,0.011843860149383545,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.48815613985061646,0.0002940048580057919,0.002623197855427861,0.011843860149383545,-7800,-7719,-7762,-7548,7936,7898,7870,7736,0.0,0.000815992767456919,0.0013097489718347788,0.3606031835079193,0.046752940863370895
2026-08-03T14:53:10.524,4003,1.38,step,0.0,0.5,,0.4922279119491577,0.007772088050842285,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4922279119491577,-0.00017152345390059054,0.0002597477287054062,0.007772088050842285,-7798,-7759,-7765,-7548,7935,7959,7871,7783,-0.01065264455974102,0.0008532769861631095,0.003754866775125265,0.36815211176872253,0.048889171332120895
2026-08-03T14:53:10.546,4023,1.4,step,0.0,0.5,,0.4957527220249176,0.0042472779750823975,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4957527220249176,0.0005789291462861001,-0.008996930904686451,0.0042472779750823975,-7790,-7768,-7772,-7802,7924,7938,7882,7768,-0.013848437927663326,0.0005523398285731673,-0.006368026603013277,0.3882499933242798,0.031646739691495895
2026-08-03T14:53:10.573,4043,1.42,step,0.0,0.5,,0.4981805682182312,0.0018194317817687988,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.4981805682182312,0.001815876574255526,-0.000981927732937038,0.0018194317817687988,-7800,-7732,-7762,-7802,7928,7928,7878,7749,0.006391586735844612,0.0005709819379262626,-0.003935171291232109,0.3957815170288086,0.032714854925870895
2026-08-03T14:53:10.593,4063,1.44,step,0.0,0.5,,0.49971097707748413,0.00028902292251586914,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.49971097707748413,0.0026322759222239256,-0.003983190283179283,0.00028902292251586914,-7800,-7754,-7763,-7802,7923,7929,7883,7739,-0.01810949482023716,0.0005576661205850542,-0.0015038445126265287,0.4033161699771881,0.031951915472745895
2026-08-03T14:53:10.608,4083,1.46,step,0.0,0.5,,0.5008857250213623,-0.0008857250213623047,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.5008857250213623,0.0029008532874286175,-0.012398355640470982,-0.0008857250213623047,-7791,-7757,-7771,-7802,7913,7943,7892,7799,-0.013848437927663326,0.00016351828526239842,0.0009406442404724658,0.410859078168869,0.009368907660245895
2026-08-03T14:53:10.628,4103,1.48,step,0.0,0.5,,0.5023241639137268,-0.0023241639137268066,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.5023241639137268,0.002650806214660406,-0.01708432286977768,-0.0023241639137268066,-7784,-7789,-7776,-7802,7907,7962,7897,7848,-0.02130528911948204,-0.00021731377637479454,0.0033523552119731903,0.4183812737464905,-0.012451162561774254
